Incident ID,Incident Date,State,City Or County,json,county,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS
3018370,2024-09-07T00:00:00Z,Florida,Opa Locka,"[{""place_id"":294388649,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":1216790,""lat"":""25.9023168"",""lon"":""-80.2503271"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4269015619958603,""addresstype"":""suburb"",""name"":""Opa-locka"",""display_name"":""Opa-locka, Miami-Dade County, Florida, 33054, United States"",""boundingbox"":[""25.8816597"",""25.9122492"",""-80.2761750"",""-80.2273021""]}]",Miami-Dade County,15600 NW 42nd Ave,0,5,0,0,0,12086
3018252,2024-09-07T00:00:00Z,Pennsylvania,Ellwood City,"[{""place_id"":24938368,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":187378,""lat"":""40.858579"",""lon"":""-80.2895502"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.3438921370257451,""addresstype"":""village"",""name"":""Ellwood City"",""display_name"":""Ellwood City, Lawrence County, Pennsylvania, United States"",""boundingbox"":[""40.8426500"",""40.8761110"",""-80.3008470"",""-80.2637330""]}]",Lawrence County,183 Portersville Rd,1,4,0,0,1,42073
3017295,2024-09-06T00:00:00Z,District of Columbia,Washington,"[{""place_id"":4278528,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":5396194,""lat"":""38.8950368"",""lon"":""-77.0365427"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.8030666834340177,""addresstype"":""city"",""name"":""Washington"",""display_name"":""Washington, District of Columbia, United States"",""boundingbox"":[""38.7916303"",""38.9959680"",""-77.1197949"",""-76.9093660""]}]",District of Columbia,900 block of Varney St SE,0,5,0,0,0,11000
3014703,2024-09-04T00:00:00Z,Georgia,Winder,"[{""place_id"":511491,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":119780,""lat"":""33.9919085"",""lon"":""-83.7184368"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.42341787558624033,""addresstype"":""town"",""name"":""Winder"",""display_name"":""Winder, Barrow County, Georgia, United States"",""boundingbox"":[""33.9363980"",""34.0369700"",""-83.7662000"",""-83.6804590""]}]",Barrow County,940 Haymon Morris Rd,4,7,0,0,1,13013
3013744,2024-09-02T00:00:00Z,Washington,Federal Way,"[{""place_id"":313798306,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":237350,""lat"":""47.313494"",""lon"":""-122.33931"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5177921735325923,""addresstype"":""town"",""name"":""Federal Way"",""display_name"":""Federal Way, King County, Washington, United States"",""boundingbox"":[""47.2574028"",""47.3579478"",""-122.4171930"",""-122.2734720""]}]",King County,I-5 and S 320th St,0,5,0,0,1,53033
3012631,2024-09-02T00:00:00Z,Illinois,Forest Park,"[{""place_id"":387045750,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":123422,""lat"":""41.8794989"",""lon"":""-87.8136997"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4656885603500428,""addresstype"":""village"",""name"":""Forest Park"",""display_name"":""Forest Park, Proviso Township, Cook County, Illinois, 60130, United States"",""boundingbox"":[""41.8500147"",""41.8868452"",""-87.8336960"",""-87.8039584""]}]",Cook County,711 Desplaines Ave,4,0,0,0,1,17031
3012888,2024-09-02T00:00:00Z,New York,Brooklyn,"[{""place_id"":15255508,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":9691750,""lat"":""40.6526006"",""lon"":""-73.9497211"",""class"":""boundary"",""type"":""administrative"",""place_rank"":14,""importance"":0.6763798530914006,""addresstype"":""suburb"",""name"":""Brooklyn"",""display_name"":""Brooklyn, Kings County, City of New York, New York, United States"",""boundingbox"":[""40.5503390"",""40.7394340"",""-74.0566880"",""-73.8329450""]}]",Kings County,Eastern Pkwy and Classon Ave,1,4,0,0,0,36047
3013319,2024-09-02T00:00:00Z,Alabama,Bessemer,"[{""place_id"":300359,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":110156,""lat"":""33.4017766"",""lon"":""-86.954437"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.46950080054910215,""addresstype"":""town"",""name"":""Bessemer"",""display_name"":""Bessemer, Jefferson County, Alabama, United States"",""boundingbox"":[""33.3006223"",""33.4498786"",""-87.0705498"",""-86.8737828""]}]",Jefferson County,200 Fourth Ave N,0,4,0,0,0,1073
3020008,2024-09-02T00:00:00Z,New Jersey,Newark,"[{""place_id"":13573669,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":170486,""lat"":""40.735657"",""lon"":""-74.1723667"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6057204777699764,""addresstype"":""city"",""name"":""Newark"",""display_name"":""Newark, Essex County, New Jersey, United States"",""boundingbox"":[""40.6732502"",""40.7881387"",""-74.2513334"",""-74.1141786""]}]",Essex County,500 block of Clinton Ave,0,4,0,0,0,34013
3012738,2024-09-02T00:00:00Z,Tennessee,Antioch,"[{""place_id"":324535626,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":153526252,""lat"":""36.0600602"",""lon"":""-86.6722192"",""class"":""place"",""type"":""hamlet"",""place_rank"":20,""importance"":0.3367490639114201,""addresstype"":""hamlet"",""name"":""Antioch"",""display_name"":""Antioch, Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, 37011, United States"",""boundingbox"":[""36.0400602"",""36.0800602"",""-86.6922192"",""-86.6522192""]}]",Davidson County,825 Hamilton Crossings,0,6,0,0,1,47037
3012204,2024-09-01T00:00:00Z,Ohio,Dayton,"[{""place_id"":324210023,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":182954,""lat"":""39.7589478"",""lon"":""-84.1916069"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6293390120299085,""addresstype"":""city"",""name"":""Dayton"",""display_name"":""Dayton, Montgomery County, Ohio, United States"",""boundingbox"":[""39.7018500"",""39.9208230"",""-84.3113770"",""-84.0929380""]}]",Montgomery County,1100 block of Gettysburg Ave,0,5,0,0,0,39113
3012525,2024-09-01T00:00:00Z,Ohio,Cleveland,"[{""place_id"":394467630,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":182130,""lat"":""41.4996574"",""lon"":""-81.6936772"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6952330131061538,""addresstype"":""city"",""name"":""Cleveland"",""display_name"":""Cleveland, Cuyahoga County, Ohio, United States"",""boundingbox"":[""41.3906280"",""41.6044360"",""-81.8790937"",""-81.5327440""]}]",Cuyahoga County,14800 block of Lawndale Ave,0,4,0,0,1,39035
3012688,2024-09-01T00:00:00Z,Delaware,Milford,"[{""place_id"":1976595,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":117159,""lat"":""38.9130453"",""lon"":""-75.4278733"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.44973722708740965,""addresstype"":""town"",""name"":""Milford"",""display_name"":""Milford, Sussex County, Delaware, United States"",""boundingbox"":[""38.8759460"",""38.9495161"",""-75.4702745"",""-75.3611324""]}]",Sussex County,200 block of North St,0,4,0,0,0,10005
3015133,2024-09-01T00:00:00Z,Texas,Bullard,"[{""place_id"":319998715,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":113561,""lat"":""32.1403019"",""lon"":""-95.3221898"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.31543423863277287,""addresstype"":""town"",""name"":""Bullard"",""display_name"":""Bullard, Smith County, Texas, United States"",""boundingbox"":[""32.1196484"",""32.1651167"",""-95.3543499"",""-95.2893131""]}]",Smith County,500 block of Guinn St,3,1,0,0,0,48423
3011930,2024-08-31T00:00:00Z,Hawaii,Waianae,"[{""place_id"":32688504,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":119271,""lat"":""21.4454875"",""lon"":""-158.18782389776402"",""class"":""boundary"",""type"":""census"",""place_rank"":25,""importance"":0.409129551813515,""addresstype"":""town"",""name"":""Waianae"",""display_name"":""Waianae, Honolulu County, Hawaii, 96792, United States"",""boundingbox"":[""21.4266350"",""21.4648809"",""-158.2146600"",""-158.1504160""]}]",Honolulu County,85-1300 Waianae Valley Rd,3,2,1,0,0,15003
3010531,2024-08-30T00:00:00Z,Minnesota,Burnsville,"[{""place_id"":28877074,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":136578,""lat"":""44.7670567"",""lon"":""-93.2773887"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4942274175821065,""addresstype"":""city"",""name"":""Burnsville"",""display_name"":""Burnsville, Dakota County, Minnesota, United States"",""boundingbox"":[""44.7174482"",""44.8290621"",""-93.3298280"",""-93.2207564""]}]",Dakota County,12100 River Hills Dr,0,5,0,0,0,27037
3011296,2024-08-30T00:00:00Z,Ohio,Euclid,"[{""place_id"":24760560,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":182087,""lat"":""41.5931049"",""lon"":""-81.5267873"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5038098087169433,""addresstype"":""town"",""name"":""Euclid"",""display_name"":""Euclid, Cuyahoga County, Ohio, United States"",""boundingbox"":[""41.5453310"",""41.6350847"",""-81.5536541"",""-81.4880331""]}]",Cuyahoga County,Nicholas Ave and E 222nd St,1,4,0,0,1,39035
3009463,2024-08-29T00:00:00Z,California,Tulare,"[{""place_id"":312107306,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":396459,""lat"":""36.2516475"",""lon"":""-118.852583"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.5496695645968577,""addresstype"":""county"",""name"":""Tulare County"",""display_name"":""Tulare County, California, United States"",""boundingbox"":[""35.7867010"",""36.7531474"",""-119.5733760"",""-117.9807869""]}]",Tulare County,Martin Luther King Jr Ave and S St,0,4,0,0,0,6107
3007365,2024-08-27T00:00:00Z,Pennsylvania,Philadelphia,"[{""place_id"":14222125,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":188022,""lat"":""39.9527237"",""lon"":""-75.1635262"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.7664927328891414,""addresstype"":""city"",""name"":""Philadelphia"",""display_name"":""Philadelphia, Philadelphia County, Pennsylvania, United States"",""boundingbox"":[""39.8670050"",""40.1379593"",""-75.2802977"",""-74.9558314""]}]",Philadelphia County,Allegheny Ave and G St,0,4,0,0,0,42101
3005280,2024-08-25T00:00:00Z,New York,Syosset,"[{""place_id"":15928465,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":175644,""lat"":""40.8262101"",""lon"":""-73.502068"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4639836382488006,""addresstype"":""locality"",""name"":""Syosset"",""display_name"":""Syosset, Town of Oyster Bay, Nassau County, New York, 11791, United States"",""boundingbox"":[""40.7861620"",""40.8433724"",""-73.5284407"",""-73.4797720""]}]",Nassau County,76 Wyoming Ct,4,0,1,0,0,36059
3005251,2024-08-25T00:00:00Z,Texas,Lubbock,"[{""place_id"":318366719,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":115401,""lat"":""33.5855677"",""lon"":""-101.8470215"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6133237485657606,""addresstype"":""city"",""name"":""Lubbock"",""display_name"":""Lubbock, Lubbock County, Texas, United States"",""boundingbox"":[""33.4478552"",""33.7084347"",""-102.0321210"",""-101.7490053""]}]",Lubbock County,9200 block of US-87 Frontage Rd,1,5,0,0,5,48303
3005607,2024-08-25T00:00:00Z,South Dakota,Sioux Falls,"[{""place_id"":385560729,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":194968,""lat"":""43.5476008"",""lon"":""-96.7293629"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5667251232201361,""addresstype"":""city"",""name"":""Sioux Falls"",""display_name"":""Sioux Falls, Sioux Falls Township, Minnehaha County, South Dakota, United States"",""boundingbox"":[""43.4644004"",""43.6417561"",""-96.8491709"",""-96.5979637""]}]",Minnehaha County,1301 S Marion Rd,1,3,0,0,0,46099
3006116,2024-08-25T00:00:00Z,Georgia,Warner Robins,"[{""place_id"":476048,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":119990,""lat"":""32.6200973"",""lon"":""-83.606568"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5191442566466553,""addresstype"":""city"",""name"":""Warner Robins"",""display_name"":""Warner Robins, Houston County, Georgia, United States"",""boundingbox"":[""32.5227150"",""32.6663890"",""-83.7477540"",""-83.5758660""]}]",Houston County,308 Shirley Dr,0,4,0,0,0,13153
3005079,2024-08-25T00:00:00Z,Alabama,Mobile,"[{""place_id"":292564207,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":254046,""lat"":""30.6913462"",""lon"":""-88.0437509"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6241796935362532,""addresstype"":""city"",""name"":""Mobile"",""display_name"":""Mobile, Mobile County, Alabama, United States"",""boundingbox"":[""30.5310263"",""30.8441636"",""-88.2761222"",""-87.9485532""]}]",Mobile County,Paper Mill Rd and Mckinley St,0,6,0,0,0,1097
3005802,2024-08-25T00:00:00Z,Pennsylvania,Allentown,"[{""place_id"":13978156,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":188525,""lat"":""40.6022059"",""lon"":""-75.4712794"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5952008161956981,""addresstype"":""city"",""name"":""Allentown"",""display_name"":""Allentown, Lehigh County, Pennsylvania, United States"",""boundingbox"":[""40.5499752"",""40.6360128"",""-75.5480045"",""-75.4192495""]}]",Lehigh County,112 N 7th St,0,6,0,0,2,42077
3005100,2024-08-24T00:00:00Z,Georgia,Dalton,"[{""place_id"":327277758,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":119586,""lat"":""34.7691867"",""lon"":""-84.9702475"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4910940454129862,""addresstype"":""town"",""name"":""Dalton"",""display_name"":""Dalton, Whitfield County, Georgia, United States"",""boundingbox"":[""34.6998670"",""34.8202620"",""-85.0396314"",""-84.8594830""]}]",Whitfield County,1800 Pleasant Grove Dr NE,4,0,0,0,1,13313
3005346,2024-08-24T00:00:00Z,Pennsylvania,Chester,"[{""place_id"":1844408,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":417832,""lat"":""39.9829308"",""lon"":""-75.7652424"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.5853815859520471,""addresstype"":""county"",""name"":""Chester County"",""display_name"":""Chester County, Pennsylvania, United States"",""boundingbox"":[""39.7214201"",""40.2450907"",""-76.1365824"",""-75.3609224""]}]",Chester County,Butler St and Concord Ave,1,3,0,0,0,42029
3003576,2024-08-22T00:00:00Z,Texas,Houston,"[{""place_id"":292999893,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":2688911,""lat"":""29.7589382"",""lon"":""-95.3676974"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.7273179768405511,""addresstype"":""city"",""name"":""Houston"",""display_name"":""Houston, Harris County, Texas, United States"",""boundingbox"":[""29.5370705"",""30.1103506"",""-95.9097419"",""-95.0120525""]}]",Houston County,2266 Collier St,0,4,0,0,1,48225
3002869,2024-08-22T00:00:00Z,Wisconsin,Milwaukee,"[{""place_id"":27075251,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":251075,""lat"":""43.0386475"",""lon"":""-87.9090751"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6669846402770888,""addresstype"":""city"",""name"":""Milwaukee"",""display_name"":""Milwaukee, Milwaukee County, Wisconsin, United States"",""boundingbox"":[""42.9208160"",""43.1949437"",""-88.0710611"",""-87.8627124""]}]",Milwaukee County,4001 W North Ave,1,3,0,0,1,55079
3002622,2024-08-21T00:00:00Z,Pennsylvania,Philadelphia,"[{""place_id"":14222125,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":188022,""lat"":""39.9527237"",""lon"":""-75.1635262"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.7664927328891414,""addresstype"":""city"",""name"":""Philadelphia"",""display_name"":""Philadelphia, Philadelphia County, Pennsylvania, United States"",""boundingbox"":[""39.8670050"",""40.1379593"",""-75.2802977"",""-74.9558314""]}]",Philadelphia County,4000 block of Lancaster Ave,0,4,0,0,0,42101
3001529,2024-08-20T00:00:00Z,Mississippi,Jackson,"[{""place_id"":323560833,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":109847,""lat"":""32.2998686"",""lon"":""-90.1830408"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5707152361890376,""addresstype"":""city"",""name"":""Jackson"",""display_name"":""Jackson, Hinds County, Mississippi, United States"",""boundingbox"":[""32.1955013"",""32.4124415"",""-90.3299278"",""-90.0636172""]}]",Jackson County,300 block of Maple St,0,6,0,0,0,28059
3001570,2024-08-20T00:00:00Z,Washington,Everett,"[{""place_id"":314039517,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":237659,""lat"":""47.9793437"",""lon"":""-122.2127011"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.566478575009698,""addresstype"":""city"",""name"":""Everett"",""display_name"":""Everett, Snohomish County, Washington, United States"",""boundingbox"":[""47.8781760"",""48.0360295"",""-122.2939700"",""-121.7939780""]}]",Snohomish County,805 W Casino Rd,0,4,0,0,0,53061
3000990,2024-08-20T00:00:00Z,Illinois,Chicago,"[{""place_id"":401149033,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":122604,""lat"":""41.8755616"",""lon"":""-87.6244212"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.8027259419416765,""addresstype"":""city"",""name"":""Chicago"",""display_name"":""Chicago, Cook County, Illinois, United States"",""boundingbox"":[""41.6445310"",""42.0230396"",""-87.9400876"",""-87.5240812""]}]",Cook County,51st St and Ashland Ave,1,5,0,0,0,17031
2998510,2024-08-18T00:00:00Z,Minnesota,Minneapolis,"[{""place_id"":28953397,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":136712,""lat"":""44.9772995"",""lon"":""-93.2654692"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6869168244297812,""addresstype"":""city"",""name"":""Minneapolis"",""display_name"":""Minneapolis, Hennepin County, Minnesota, United States"",""boundingbox"":[""44.8901500"",""45.0512500"",""-93.3291250"",""-93.1938590""]}]",Hennepin County,1200 block of W Broadway Ave,0,4,0,0,0,27053
2998845,2024-08-18T00:00:00Z,Maryland,Baltimore,"[{""place_id"":398395451,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":133345,""lat"":""39.2908816"",""lon"":""-76.610759"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.7065126700098143,""addresstype"":""city"",""name"":""Baltimore"",""display_name"":""Baltimore, Maryland, United States"",""boundingbox"":[""39.1972328"",""39.3719992"",""-76.7112977"",""-76.5296757""]}]",Baltimore County,1300 block of N Spring St,1,7,0,0,0,24005
